Equipment,Type,Description
Sony A7R III + Tamron 28-75mm F/2.8 Di III RXD,"Camera, Camera Lens","The Sony a7R Mark III is a full-frame mirrorless camera that uses a 42.4MP stabilized BSI CMOS sensor.
The Tamron 28-75mm F / 2.8 Di III RXD (Model A036) is a high-speed standard zoom lens specifically designed for mirrorless cameras. Now you can balance high image quality with beautiful bokeh. Specialized glass elements, including an XLD lens, control various aberrations and produce stable resolution across the entire zoom range."
JVC GZ-RY980HEU,Camera,"JVC GZ-RY980HEU 4K Outdoor Camcorder with QUAD PROOF Casing (Waterproof, Dustproof, Shockproof, Frost-Resistant) and 2x SD Card Slot."
Richo Theta V,Camera,The Ricoh Theta 360 Degree Spherical Panorama Digital Camera (Black) gives you even higher quality and performance.
Holga,Camera,"The Holga is a medium format 120 film camera, made in Hong Kong, known for its low-fidelity aesthetic. The Holga's low-cost construction and simple meniscus lens often yields pictures that display vignetting, blur, light leaks, and other distortions."
Logitech StreamCam,Camera,"The Logitech StreamCam is a flexible, capable webcam package. The camera produces crisp, smooth video at a variety of resolutions, frame rates, and orientations, with solid audio quality from its microphones."
DJI Ronin SC,Camera Gimbal,"The Ronin-SC stabilizer for mirrorless cameras supports a wide range of cameras and lenses. It has been rigorously tested to support a payload of 4.4 lbs / 2.0 kg while still achieving a smooth, cinematic shot."
Camera Tripod,Camera Tripod,"This tripod is used to stabilize and elevate a camera, a flash unit, or other photographic equipment. All photographic tripods have three legs and a mounting head to couple with a camera."
AKG K-240 MKII,Headphone,The K240 MKII are built to be neutral listening headphones that deliver an immersive audio reproduction. They have a great soundstage for a semi-open design and reproduce instruments and vocals well enough to please most neutral listners.
RØDE Wireless Go II,Microphone,"The Wireless GO II is an ultra-compact and extremely versatile wireless microphone system consisting of a dual channel receiver and two transmitters. Incorporating the same unique form factor and professional sound quality as the original Wireless GO with groundbreaking, patent-pending technology, the Wireless GO II is the perfect microphone for a wide range of content creation applications."
Sennheiser MKE 600,Microphone,"The MKE 600 is the ideal video camera/camcorder microphone able to handle even demanding filmic challenges. Due to its high directivity, the MKE 600 picks up sounds coming from the direction in which the camera is pointing and effectively attenuates noise coming from the sides and rear. The switchable “Low Cut” filter additionally minimizes wind noise."
Catchbox,Microphone,"Catchbox engagement microphone is made to improve your audience participation in conferences, classrooms and during all hands meetings."
RØDE VideoMic Pro+,Microphone,"The RØDE VideoMic Pro+ is a true shotgun microphone designed for use with camcorders, DSLR cameras and portable audio recorders as a source of primary and reference audio."
Blue Yeti Pro,Microphone,Professional multi-pattern USB/XLR condenser microphone for recording and streaming.
