Equipment,Category,Description,Renting: Number rented out,Type
Logitech Spotlight,For rent,For presentations without standing next to your laptop. USB receiver.,0,Presentation Clicker
Parrot Bebop 2,For rent,"Lightweight HD video drone, smartphone controlled. 500g. 25min flying time.",0,Drone
Logitech StreamCam,For rent,"The Logitech camera is a great camera for your computer. Great for streaming, HD video, photographs, video calls and more.",0,Video Conferencing
Richo Theta V,For rent,The Ricoh Theta 360 Degree Spherical Panorama Digital Camera (Black) gives you even higher quality and performance.,0,Camera
Sony A7R III + Tamron 28-75mm F/2.8 Di III RXD,For rent,"The Sony a7R Mark III is a full-frame mirrorless camera that uses a 42.4MP stabilized BSI CMOS sensor.
The Tamron 28-75mm F / 2.8 Di III RXD (Model A036) is a high-speed standard zoom lens specifically designed for mirrorless cameras. Now you can balance high image quality with beautiful bokeh. Specialized glass elements, including an XLD lens, control various aberrations and produce stable resolution across the entire zoom range.",0,"Camera, Camera Lens"
Catchbox,For rent,"Catchbox engagement microphone is made to improve your audience participation in conferences, classrooms and during all hands meetings.",0,Microphone
Sphero Robots,For rent,"Sphero, is a white spherical robot capable of rolling around under the control of a smartphone or tablet.",0,Robots
Zoom Handy Audio Interface (U-24),Campus,"The U-24 is a compact, 2-in/4-out audio interface that provides all of the essential tools you need for recording and performing with high resolution, 24-bit/96 kHz audio—anywhere you go",0,Audio
HTC Vive Pro,For rent,"The HTC Vive is a virtual reality headset developed by HTC and Valve Corporation. The headset uses ""room scale"" tracking technology, allowing the user to move in 3D space and use motion-tracked handheld controllers to interact with the environment.",0,VR
Ocolus Go,For rent,Oculus Go is an all-in-one virtual reality headset. Go virtually everywhere with no phone to drop in or PC to connect.,0,VR
Conference kit,Campus,"The conference group video kit is for large video conferences is big rooms - whole kit comes in one box. External microphones are available, too.",0,
Screen,Campus,"There is a monitor in every room, for presentations and/or lectures.",0,Monitors
Airtame,Campus,Airtame 2 in every lecturer rooms.,0,Wireless Presentation System
Speaker and Microphone,Campus,The speaker and microphone - including portable microphones and CatchBox - are typically used in Spock for large gatherings. And for mic drops of course.,0,"Microphone, Speaker"
beyerdynamic PHONUM Wireless Bluetooth/USB Speakerphone,Campus,Portable conference speaker,0,Speaker
Samsung Flip,Campus,Samsung Flip is an interactive display that simplifies teamwork without any hassle.,0,
Office supplies,Campus,,0,
Whiteboard,Campus,,0,
Beamer,Campus,,0,Monitors
Glassboard,Campus,,0,
Monitor,Campus,,0,Monitors
RØDE Wireless Go II,For rent,"The Wireless GO II is an ultra-compact and extremely versatile wireless microphone system consisting of a dual channel receiver and two transmitters. Incorporating the same unique form factor and professional sound quality as the original Wireless GO with groundbreaking, patent-pending technology, the Wireless GO II is the perfect microphone for a wide range of content creation applications.",0,Microphone
RØDE VideoMic Pro+,For rent,"The RØDE VideoMic Pro+ is a true shotgun microphone designed for use with camcorders, DSLR cameras and portable audio recorders as a source of primary and reference audio.",0,Microphone
JVC GZ-RY980HEU,For rent,"JVC GZ-RY980HEU 4K Outdoor Camcorder with QUAD PROOF Casing (Waterproof, Dustproof, Shockproof, Frost-Resistant) and 2x SD Card Slot.",0,Camera
DJI Ronin SC,For rent,"The Ronin-SC stabilizer for mirrorless cameras supports a wide range of cameras and lenses. It has been rigorously tested to support a payload of 4.4 lbs / 2.0 kg while still achieving a smooth, cinematic shot.",0,Camera Gimbal
Studio Lighting Set,For rent,Photo Studio Lighting with tripod and carry bag.,0,Lights
Sennheiser MKE 600,For rent,"The MKE 600 is the ideal video camera/camcorder microphone able to handle even demanding filmic challenges. Due to its high directivity, the MKE 600 picks up sounds coming from the direction in which the camera is pointing and effectively attenuates noise coming from the sides and rear. The switchable “Low Cut” filter additionally minimizes wind noise.",0,Microphone
Zoom F6,For rent,"The Zoom F6 is the first professional field recorder to feature both 32-bit float recording and dual AD converters, providing an unprecedented amount of dynamic range. With 6 inputs, Zoom’s solid time code, multiple power options and wireless control, the F6 is poised to be your new secret weapon.",0,Field Recorder
RGB Led Light,For rent,16 million color and 8 lighting scenes options in Ustellar Smart Wifi RGBCW LED flood light.,0,Lights
Softbox Lightning Set,For rent,Softbox Lighting Set with tripod and carry bag.,0,Lights
Blue Yeti Pro,For rent,Professional multi-pattern USB/XLR condenser microphone for recording and streaming.,0,Microphone
AKG K-240 MKII,For rent,The K240 MKII are built to be neutral listening headphones that deliver an immersive audio reproduction. They have a great soundstage for a semi-open design and reproduce instruments and vocals well enough to please most neutral listners.,0,Headphone
Gaomon M10K,For rent,"GAOMON M10K PRO is designed with a touch ring and 10 press keys, which are all customizable to suit different needs of creators.",0,Pen Tablet
Epson EB-2250U,For rent,"Super-bright projector offers an outstanding brightness 5,000 lumens and full HD resolution. The EB-2250U is designed to project a scalable image size of up to a 300 inches, and offers connectivity options such as dual HDMI and optional Wi-Fi.",0,Beamer
Camera Tripod,For rent,"This tripod is used to stabilize and elevate a camera, a flash unit, or other photographic equipment. All photographic tripods have three legs and a mounting head to couple with a camera.",0,Camera Tripod
